"layer","zindex","type","startZoom","stopZoom","filter","color","width","pattern"
"leisure__leisure",,"polygon",10,,"leisure = marina","0xb5d0d0",,
,,"polygon",12,,"man_made = pier","0xf2efe9",,
,,"polygon",13,,"leisure = playground","0xccffff",,
,,"polygon",13,,"tourism = camp_site or tourism = caravan_site or tourism = picnic_site","0xccff99",,
,,"polygon",10,,"tourism = attraction","0xf2caea",,
,,"polygon",10,13,"leisure = nature_reserve or landuse = vineyard","0xabdf96",,
,,"polygon",10,15,"landuse = cemetery or landuse = grave_yard or amenity = grave_yard","0xaacbaf",,
,,"polygon",10,,"landuse = residential","0xdddddd",,
,,"polygon",10,,"military = barracks","0xff8f8f",,
,,"polygon",10,,"landuse = military","0xffa8a8",,
,,"polygon",10,14,"landuse = field or natural = field","0x666600",,
,,"polygon",14,,"landuse = field or natural = field","0x666600",,
,,"polygon",9,11,"military = danger_area","0xFFAFAF",,
,,"polygon",10,,"landuse = meadow or landuse = grass","0xcfeca8",,
,,"polygon",10,,"leisure = park or leisure = recreation_ground","0xb6fdb6",,
,,"polygon",10,,"leisure = common","0xcfeca8",,
,,"polygon",10,,"leisure = garden","0xcfeca8",,
,,"polygon",10,,"leisure = golf_course","0xb5e3b5",,
,,"polygon",10,,"landuse = allotments","0xc8b084",,
,,"polygon",9,14,"landuse = forest","0x8dc56c",,
,,"polygon",9,,"landuse = farmyard","0xddbf92",,
,,"polygon",9,,"landuse = farm or landuse = farmland","0xead8bd",,
,,"polygon",10,,"landuse = recreation_ground or landuse = conservation","0xcfeca8",,
,,"polygon",11,,"landuse = village_green","0xcfeca8",,
,,"polygon",10,,"landuse = retail","0xf1dada",,
,,"polygon",10,,"landuse = industrial or landuse = railway","0xdfd1d6",,
,,"polygon",10,12,"power = station","0xbbbbbb",,
,,"polygon",12,,"power = station","0xbbbbbb",,
,,"polygon",13,,"power = sub_station","0xbbbbbb",,
,,"polygon",10,,"landuse = commercial","0xefc8c8",,
,,"polygon",10,,"landuse = brownfield or landuse = landfill or landuse = greenfield or landuse = construction","0x9d9d6c",,
,,"polygon",10,,"natural = wood or landuse = wood","0xaed1a0",,
,,"polygon",10,,"natural = heath","0xffffc0",,
,,"polygon",7,,"landuse = basin","0xb5d0d0",,
,,"polygon",10,,"amenity = university or amenity = college or amenity = school or amenity = hospital","0xf0f0d8",,
,,"polygon",10,,"amenity = parking","0xf7efb7",,
,,"polygon",12,,"aeroway = apron","0xf0e0ff",,
"sports_grounds__sports_grounds",,"polygon",10,,"leisure = sports_centre or leisure = stadium","0x33cc99",,
"water_areas__water_areas",,"polygon",9,,"waterway = dock or landuse = reservoir or landuse = water or waterway = mill_pond or waterway = riverbank","0xb5d0d0",,
,,"polygon",7,,"natural = lake or natural = water","0xb5d0d0",,
,,"polygon",10,,"natural = land","0xf2efe9",,
"buildings__buildings",,"polygon",10,,"leisure = pitch","0x8ad3af",,
,,"polygon",10,,"railway = station or building = station","0xd4aaaa",,
,,"polygon",10,,"building = supermarket","0xFFAFAF",,
,,"polygon",10,15,"amenity = place_of_worship","0x777777",,
